[2025-05-21 21:10:42,594] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-05-21 21:10:43,918] [INFO] [comm.py:652:init_distributed] cdb=None
[2025-05-21 21:10:43,919] [INFO] [comm.py:683:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
ninja: no work to do.
Time to load fused_adam op: 0.5960257053375244 seconds
{'loss': 7.4111, 'grad_norm': 15.018501281738281, 'learning_rate': 3.417032410925835e-07, 'epoch': 0.0}
{'loss': 7.3684, 'grad_norm': 16.040679931640625, 'learning_rate': 4.3553526640713266e-07, 'epoch': 0.0}
{'loss': 7.3433, 'grad_norm': 15.897747993469238, 'learning_rate': 4.904234825828624e-07, 'epoch': 0.01}
{'loss': 7.2186, 'grad_norm': 11.92582893371582, 'learning_rate': 5.29367291721682e-07, 'epoch': 0.01}
{'loss': 7.2463, 'grad_norm': 9.484732627868652, 'learning_rate': 5.595744568706176e-07, 'epoch': 0.01}
{'loss': 7.1665, 'grad_norm': 9.6912260055542, 'learning_rate': 5.842555078974116e-07, 'epoch': 0.01}
{'loss': 7.1525, 'grad_norm': 8.854722023010254, 'learning_rate': 6.051230392060171e-07, 'epoch': 0.02}
{'loss': 7.0311, 'grad_norm': 8.333131790161133, 'learning_rate': 6.231993170362313e-07, 'epoch': 0.02}
{'loss': 7.0464, 'grad_norm': 8.283567428588867, 'learning_rate': 6.391437240731412e-07, 'epoch': 0.02}
{'loss': 7.0268, 'grad_norm': 8.521100044250488, 'learning_rate': 6.53406482185167e-07, 'epoch': 0.02}
{'loss': 6.9781, 'grad_norm': 7.099292755126953, 'learning_rate': 6.663087163065107e-07, 'epoch': 0.03}
{'loss': 6.9818, 'grad_norm': 8.131535530090332, 'learning_rate': 6.780875332119609e-07, 'epoch': 0.03}
{'loss': 6.9757, 'grad_norm': 7.370598793029785, 'learning_rate': 6.88922994400162e-07, 'epoch': 0.03}
{'loss': 6.9288, 'grad_norm': 7.442366123199463, 'learning_rate': 6.989550645205664e-07, 'epoch': 0.03}
{'loss': 6.9458, 'grad_norm': 7.226899147033691, 'learning_rate': 7.082946983608965e-07, 'epoch': 0.03}
{'loss': 6.9316, 'grad_norm': 7.7525763511657715, 'learning_rate': 7.170313423507805e-07, 'epoch': 0.04}
{'loss': 6.9057, 'grad_norm': 7.459738254547119, 'learning_rate': 7.252381578850649e-07, 'epoch': 0.04}
{'loss': 6.8834, 'grad_norm': 7.250912666320801, 'learning_rate': 7.329757493876905e-07, 'epoch': 0.04}
{'loss': 6.8834, 'grad_norm': 7.1524810791015625, 'learning_rate': 7.402948830683924e-07, 'epoch': 0.04}
{'loss': 6.8387, 'grad_norm': 7.13260555267334, 'learning_rate': 7.47238507499716e-07, 'epoch': 0.05}
{'eval_loss': 6.829936504364014, 'eval_runtime': 48.7589, 'eval_samples_per_second': 20.509, 'eval_steps_per_second': 5.127, 'epoch': 0.05}
{'loss': 6.8358, 'grad_norm': 7.670453071594238, 'learning_rate': 7.538432806962959e-07, 'epoch': 0.05}
{'loss': 6.8045, 'grad_norm': 7.453307628631592, 'learning_rate': 7.601407416210598e-07, 'epoch': 0.05}
{'loss': 6.8442, 'grad_norm': 6.965505123138428, 'learning_rate': 7.661582210652571e-07, 'epoch': 0.05}
{'loss': 6.7812, 'grad_norm': 6.75167989730835, 'learning_rate': 7.719195585265102e-07, 'epoch': 0.06}
{'loss': 6.8138, 'grad_norm': 7.317348003387451, 'learning_rate': 7.774456726486518e-07, 'epoch': 0.06}
{'loss': 6.7677, 'grad_norm': 7.416393756866455, 'learning_rate': 7.827550197147114e-07, 'epoch': 0.06}
{'loss': 6.7955, 'grad_norm': 7.528538703918457, 'learning_rate': 7.878639655634202e-07, 'epoch': 0.06}
{'loss': 6.7911, 'grad_norm': 7.417293548583984, 'learning_rate': 7.927870898351156e-07, 'epoch': 0.06}
{'loss': 6.7487, 'grad_norm': 7.617687225341797, 'learning_rate': 7.975374368049931e-07, 'epoch': 0.07}
{'loss': 6.7878, 'grad_norm': 7.122561454772949, 'learning_rate': 8.021267236754457e-07, 'epoch': 0.07}
{'loss': 6.7059, 'grad_norm': 7.422507286071777, 'learning_rate': 8.065655147020514e-07, 'epoch': 0.07}
{'loss': 6.7254, 'grad_norm': 7.562986850738525, 'learning_rate': 8.108633676653299e-07, 'epoch': 0.07}
{'loss': 6.7385, 'grad_norm': 7.710051536560059, 'learning_rate': 8.150289577967893e-07, 'epoch': 0.08}
{'loss': 6.6995, 'grad_norm': 7.407298564910889, 'learning_rate': 8.190701831996142e-07, 'epoch': 0.08}
{'loss': 6.7141, 'grad_norm': 6.926912307739258, 'learning_rate': 8.229942549840511e-07, 'epoch': 0.08}
{'loss': 6.726, 'grad_norm': 8.11316204071045, 'learning_rate': 8.268077747022399e-07, 'epoch': 0.08}
{'loss': 6.6746, 'grad_norm': 7.345831871032715, 'learning_rate': 8.305168011712431e-07, 'epoch': 0.09}
{'loss': 6.684, 'grad_norm': 6.869028568267822, 'learning_rate': 8.341269083829417e-07, 'epoch': 0.09}
{'loss': 6.6802, 'grad_norm': 7.674799919128418, 'learning_rate': 8.376432358904408e-07, 'epoch': 0.09}
{'loss': 6.6517, 'grad_norm': 7.720458030700684, 'learning_rate': 8.410705328142654e-07, 'epoch': 0.09}
{'eval_loss': 6.661493301391602, 'eval_runtime': 48.8411, 'eval_samples_per_second': 20.475, 'eval_steps_per_second': 5.119, 'epoch': 0.09}
{'loss': 6.7415, 'grad_norm': 7.432684421539307, 'learning_rate': 8.444131964139217e-07, 'epoch': 0.1}
{'loss': 6.6768, 'grad_norm': 7.353541374206543, 'learning_rate': 8.476753060108452e-07, 'epoch': 0.1}
{'loss': 6.6824, 'grad_norm': 7.827775001525879, 'learning_rate': 8.508606529192373e-07, 'epoch': 0.1}
{'loss': 6.6485, 'grad_norm': 7.781017780303955, 'learning_rate': 8.539727669356091e-07, 'epoch': 0.1}
{'loss': 6.624, 'grad_norm': 7.676271438598633, 'learning_rate': 8.570149398511754e-07, 'epoch': 0.1}
{'loss': 6.614, 'grad_norm': 7.696916103363037, 'learning_rate': 8.599902463798065e-07, 'epoch': 0.11}
{'loss': 6.6506, 'grad_norm': 8.168001174926758, 'learning_rate': 8.629015628351127e-07, 'epoch': 0.11}
{'loss': 6.6079, 'grad_norm': 7.180306434631348, 'learning_rate': 8.657515838410595e-07, 'epoch': 0.11}
{'loss': 6.6474, 'grad_norm': 8.022435188293457, 'learning_rate': 8.685428373194506e-07, 'epoch': 0.11}
{'loss': 6.6181, 'grad_norm': 7.496465682983398, 'learning_rate': 8.712776979632011e-07, 'epoch': 0.12}
{'loss': 6.6029, 'grad_norm': 6.914244651794434, 'learning_rate': 8.739583993753437e-07, 'epoch': 0.12}
{'loss': 6.6169, 'grad_norm': 8.598819732666016, 'learning_rate': 8.765870450292607e-07, 'epoch': 0.12}
{'loss': 6.6023, 'grad_norm': 8.016321182250977, 'learning_rate': 8.791656181848821e-07, 'epoch': 0.12}
{'loss': 6.5633, 'grad_norm': 7.677856922149658, 'learning_rate': 8.816959908779693e-07, 'epoch': 0.13}
