                                                       
{'loss': 7.3579, 'grad_norm': 1.4234747886657715, 'learning_rate': 0.0001455901203190861, 'epoch': 0.0}
{'loss': 7.2323, 'grad_norm': 2.073146104812622, 'learning_rate': 0.0001849016636724994, 'epoch': 0.0}
{'loss': 7.0986, 'grad_norm': 2.331509590148926, 'learning_rate': 0.00020789744237972014, 'epoch': 0.0}
{'loss': 7.1088, 'grad_norm': 2.415262460708618, 'learning_rate': 0.00022421320702591262, 'epoch': 0.0}
{'loss': 6.968, 'grad_norm': 2.495051622390747, 'learning_rate': 0.0002368686972847589, 'epoch': 0.0}
{'loss': 6.938, 'grad_norm': 2.539349317550659, 'learning_rate': 0.00024720898573313337, 'epoch': 0.0}
{'loss': 6.9336, 'grad_norm': 2.483067274093628, 'learning_rate': 0.00025595157504597175, 'epoch': 0.0}
{'loss': 6.9555, 'grad_norm': 2.4290761947631836, 'learning_rate': 0.0002635247503793259, 'epoch': 0.0}
{'loss': 6.8559, 'grad_norm': 2.6346452236175537, 'learning_rate': 0.0002702047644403542, 'epoch': 0.01}
{'loss': 6.8846, 'grad_norm': 2.9136714935302734, 'learning_rate': 0.0002761802406381722, 'epoch': 0.01}
{'loss': 6.9052, 'grad_norm': 2.364570379257202, 'learning_rate': 0.0002815857163733149, 'epoch': 0.01}
{'loss': 6.9018, 'grad_norm': 2.3047142028808594, 'learning_rate': 0.00028652052908654667, 'epoch': 0.01}
{'loss': 6.7316, 'grad_norm': 2.513849973678589, 'learning_rate': 0.000291060116725482, 'epoch': 0.01}
{'loss': 6.7936, 'grad_norm': 2.600755453109741, 'learning_rate': 0.00029526311839938495, 'epoch': 0.01}
{'loss': 6.7781, 'grad_norm': 2.567565441131592, 'learning_rate': 0.000299176019345393, 'epoch': 0.01}
{'loss': 6.8264, 'grad_norm': 2.5169365406036377, 'learning_rate': 0.00030283629373273915, 'epoch': 0.01}
{'loss': 6.7672, 'grad_norm': 2.26871919631958, 'learning_rate': 0.0003062745930083646, 'epoch': 0.01}
{'loss': 6.8175, 'grad_norm': 2.478975772857666, 'learning_rate': 0.00030951630779376744, 'epoch': 0.01}
{'loss': 6.9162, 'grad_norm': 2.079040765762329, 'learning_rate': 0.0003125827069259807, 'epoch': 0.01}
{'loss': 6.896, 'grad_norm': 2.4059929847717285, 'learning_rate': 0.00031549178399158546, 'epoch': 0.01}
{'loss': 6.8538, 'grad_norm': 2.094263792037964, 'learning_rate': 0.00031825889710660577, 'epoch': 0.01}
